Time,Potential gravitational energy
296.467,29559.8
296.483,29269.7
296.5,28977
296.517,28681.5
296.533,28383.4
296.55,28082.6
296.567,27779.1
296.583,27472.9
296.6,27164
296.617,26852.5
296.633,26538.2
296.65,26221.3
296.667,25901.7
296.683,25579.5
296.7,25254.5
296.717,24926.9
296.733,24596.5
296.75,24263.5
296.767,23927.9
296.783,23589.5
296.8,23248.4
296.817,22904.7
296.833,22558.3
296.85,22209.2
296.867,21857.4
296.883,21503
296.9,21145.8
296.917,20786
296.933,20423.5
296.95,20058.3
296.967,19690.5
296.983,19319.9
297,18946.7
297.017,18570.8
297.033,18192.2
297.05,17810.9
297.067,17426.9
297.083,17040.3
297.1,16651
297.117,16259
297.133,15864.3
297.15,15466.9
297.167,15066.9
297.183,14664.1
297.2,14258.7
297.217,13850.6
297.233,13439.8
297.25,13026.4
297.267,12610.2
297.283,12191.4
297.3,11769.9
297.317,11345.7
297.333,10918.8
297.35,10489.3
297.367,10057.1
297.383,9622.14
297.4,9184.54
297.417,8744.26
297.433,8301.3
297.45,7855.66
297.467,7407.33
297.483,6956.32
297.5,6502.63
297.517,6046.26
297.533,5587.2
297.55,5125.47
297.567,4661.05
297.583,4193.95
297.6,3724.17
297.617,3724.17
297.633,4193.95
297.65,4661.05
297.667,5125.46
297.683,5587.2
297.7,6046.25
297.717,6502.62
297.733,6956.31
297.75,7407.32
297.767,7855.65
297.783,8301.29
297.8,8744.25
297.817,9184.53
297.833,9622.13
297.85,10057
297.867,10489.3
297.883,10918.8
297.9,11345.7
297.917,11769.9
297.933,12191.4
297.95,12610.2
297.967,13026.4
297.983,13439.8
298,13850.6
298.017,14258.7
298.033,14664.1
298.05,15066.9
298.067,15466.9
298.083,15864.3
298.1,16259
298.117,16651
298.133,17040.3
298.15,17426.9
298.167,17810.9
298.183,18192.2
298.2,18570.8
298.217,18946.7
298.233,19319.9
298.25,19690.5
298.267,20058.3
298.283,20423.5
298.3,20786
298.317,21145.8
298.333,21503
298.35,21857.4
298.367,22209.2
298.383,22558.3
298.4,22904.7
298.417,23248.4
298.433,23589.5
298.45,23927.9
298.467,24263.5
298.483,24596.5
298.5,24926.9
298.517,25254.5
298.533,25579.5
298.55,25901.7
298.567,26221.3
298.583,26538.2
298.6,26852.5
298.617,27164
298.633,27472.9
298.65,27779.1
298.667,28082.6
298.683,28383.4
298.7,28681.5
298.717,28977
298.733,29269.7
298.75,29559.8
298.767,29847.2
298.783,30132
298.8,30414
298.817,30693.4
298.833,30970.1
298.85,31244.1
298.867,31515.4
298.883,31784
298.9,32050
298.917,32313.2
298.933,32573.8
298.95,32831.7
298.967,33087
298.983,33339.5
299,33589.4
299.017,33836.5
299.033,34081
299.05,34322.9
299.067,34562
299.083,34798.4
299.1,35032.2
299.117,35263.3
299.133,35491.7
299.15,35717.4
299.167,35940.5
299.183,36160.8
299.2,36378.5
299.217,36593.5
299.233,36805.8
299.25,37015.4
299.267,37222.4
299.283,37426.7
299.3,37628.3
299.317,37827.2
299.333,38023.4
299.35,38216.9
299.367,38407.8
299.383,38596
299.4,38781.5
299.417,38964.3
299.433,39144.4
299.45,39321.8
299.467,39496.6
299.483,39668.7
299.5,39838.1
299.517,40004.8
299.533,40168.9
299.55,40330.2
299.567,40488.9
299.583,40644.9
299.6,40798.2
299.617,40948.8
299.633,41096.8
299.65,41242.1
299.667,41384.6
299.683,41524.5
299.7,41661.8
299.717,41796.3
299.733,41928.2
299.75,42057.3
299.767,42183.8
299.783,42307.6
299.8,42428.8
299.817,42547.2
299.833,42663
299.85,42776.1
299.867,42886.5
299.883,42994.2
299.9,43099.2
299.917,43201.6
299.933,43301.2
299.95,43398.2
299.967,43492.5
299.983,43584.2
300,43673.1
300.017,43759.4
300.033,43843
300.05,43923.9
300.067,44002.1
300.083,44077.6
300.1,44150.5
300.117,44220.6
300.133,44288.1
300.15,44352.9
300.167,44415.1
300.183,44474.5
300.2,44531.3
300.217,44585.3
300.233,44636.7
300.25,44685.5
300.267,44731.5
300.283,44774.8
300.3,44815.5
300.317,44853.5
300.333,44888.8
300.35,44921.4
300.367,44951.4
300.383,44978.6
300.4,45003.2
300.417,45025.1
300.433,45044.3
300.45,45060.9
300.467,45074.7
300.483,45085.9
300.5,45094.4
300.517,45100.2
300.533,45103.3
300.55,45103.7
300.567,45101.5
300.583,45096.6
300.6,45089
300.617,45078.7
300.633,45065.7
300.65,45050.1
300.667,45031.7
300.683,45010.7
300.7,44987
300.717,44960.6
300.733,44931.6
300.75,44899.8
300.767,44865.4
300.783,44828.3
300.8,44788.5
300.817,44746
300.833,44700.9
300.85,44653.1
300.867,44602.5
300.883,44549.3
300.9,44493.5
300.917,44434.9
300.933,44373.7
300.95,44309.7
300.967,44243.1
300.983,44173.8
301,44101.9
301.017,44027.2
301.033,43949.9
301.05,43869.9
301.067,43787.2
301.083,43701.8
301.1,43613.7
301.117,43523
301.133,43429.6
301.15,43333.4
301.167,43234.7
301.183,43133.2
301.2,43029
301.217,42922.2
301.233,42812.7
301.25,42700.5
301.267,42585.6
301.283,42468
301.3,42347.8
301.317,42224.9
301.333,42099.2
301.35,41970.9
301.367,41840
301.383,41706.3
301.4,41570
301.417,41431
301.433,41289.3
301.45,41144.9
301.467,40997.8
301.483,40848.1
301.5,40695.6
301.517,40540.5
301.533,40382.7
301.55,40222.2
301.567,40059.1
301.583,39893.3
301.6,39724.7
301.617,39553.5
301.633,39379.6
301.65,39203.1
301.667,39023.8
301.683,38841.9
301.7,38657.3
301.717,38470
301.733,38280
301.75,38087.4
301.767,37892
301.783,37694
301.8,37493.3
301.817,37289.9
301.833,37083.8
301.85,36875.1
301.867,36663.7
301.883,36449.5
301.9,36232.7
301.917,36013.3
301.933,35791.1
301.95,35566.3
301.967,35338.7
301.983,35108.5
302,34875.6
302.017,34640.1
302.033,34401.8
302.05,34160.9
302.067,33917.3
302.083,33671
302.1,33422
302.117,33170.3
302.133,32916
302.15,32659
302.167,32399.3
302.183,32136.9
302.2,31871.8
302.217,31604
302.233,31333.6
302.25,31060.5
302.267,30784.7
302.283,30506.2
302.3,30225
302.317,29941.2
302.333,29654.7
302.35,29365.5
302.367,29073.6
302.383,28779
302.4,28481.8
302.417,28181.8
302.433,27879.2
302.45,27573.9
302.467,27265.9
