Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
280.45,13070.9,6535.78,19606.7
280.467,13195,6597.8,19792.8
280.483,13319.6,6660.08,19979.7
280.5,13444.8,6722.68,20167.5
280.517,13570.6,6785.6,20356.2
280.533,13697,6848.78,20545.7
280.55,13823.9,6912.26,20736.2
280.567,13951.5,6976.03,20927.5
280.583,14079.4,7040.31,21119.7
280.6,14208.3,7104.49,21312.8
280.617,14337.6,7169.1,21506.7
280.633,14467.5,7234.04,21701.6
280.65,14598,7299.32,21897.3
280.667,14729,7364.83,22093.9
280.683,14860.7,7430.64,22291.3
280.7,14992.9,7496.76,22489.7
280.717,15125.7,7563.17,22688.9
280.733,15258.9,7630.06,22889
280.75,15393.1,7696.91,23090
280.767,15527.6,7764.17,23291.8
280.783,15662.8,7831.75,23494.6
280.8,15798.5,7899.61,23698.2
280.817,15934.9,7967.77,23902.7
280.833,16071.8,8036.23,24108
280.85,16209.1,8105.16,24314.3
280.867,16347.4,8174.01,24521.4
280.883,16486.1,8243.36,24729.4
280.9,16625.4,8313.01,24938.4
280.917,16765.2,8382.93,25148.1
280.933,16905.6,8453.15,25358.8
280.95,17046.6,8523.68,25570.3
280.967,17188.2,8594.48,25782.7
280.983,17330.2,8665.78,25996
281,17473.2,8736.97,26210.1
281.017,17616.6,8808.62,26425.2
281.033,17760.3,8880.78,26641.1
281.05,17905,8952.91,26857.9
281.067,18050.1,9025.47,27075.6
281.083,18195.8,9098.33,27294.1
281.1,18342.1,9171.45,27513.5
281.117,18488.9,9244.92,27733.8
281.133,18636.4,9318.64,27955
281.15,18784.4,9392.65,28177.1
281.167,18933.1,9466.96,28400
281.183,19082,9541.8,28623.8
281.2,19232.1,9616.49,28848.5
281.217,19382.5,9691.65,29074.1
281.233,19533.4,9767.17,29300.6
281.25,19685,9842.89,29527.9
281.267,19837.1,9919,29756.1
281.283,19989.9,9995.32,29985.2
281.3,20143.2,10072,30215.2
281.317,20297,10149,30446
281.333,20451.5,10226.2,30677.8
281.35,20606.4,10303.9,30910.4
281.367,20762.2,10381.6,31143.8
281.383,20918.5,10459.7,31378.2
281.4,21075.3,10538.2,31613.4
281.417,21232.7,10616.8,31849.6
281.433,21390.7,10695.9,32086.6
281.45,21549.3,10775.1,32324.4
281.467,21708.5,10854.7,32563.2
281.483,21868.2,10934.6,32802.8
281.5,22028.5,11014.8,33043.3
281.517,22189.5,11095.3,33284.7
281.533,22350.9,11176,33527
281.55,22513,11257.1,33770.1
281.567,22675.7,11338.4,34014.1
281.583,22838.8,11420.2,34259
281.6,23002.8,11502,34504.8
281.617,23167.2,11584.2,34751.4
281.633,23332.3,11666.7,34999
281.65,23497.6,11749.8,35247.4
281.667,23664,11832.6,35496.7
281.683,23830.9,11916,35746.9
281.7,23998.2,11999.7,35997.9
281.717,24166.2,12083.7,36249.9
281.733,24334.8,12167.9,36502.7
281.75,24503.9,12252.5,36756.4
281.767,24673.6,12337.4,37011
281.783,24843.9,12422.5,37266.4
281.8,25014.7,12508,37522.7
281.817,25186.2,12593.7,37779.9
281.833,25358,12680,38038
281.85,25530.9,12766.1,38297
281.867,25704.1,12852.7,38556.8
281.883,25878,12939.6,38817.5
281.9,26052.3,13026.8,39079.1
281.917,26227.3,13114.3,39341.6
281.933,26402.9,13202,39605
281.95,26579,13290.2,39869.2
281.967,26755.7,13378.6,40134.3
281.983,26933.1,13467.2,40400.3
282,27111,13556.2,40667.2
282.017,27289.5,13645.4,40934.9
282.033,27468.6,13735,41203.5
282.05,27648.2,13824.8,41473
282.067,27828.5,13914.9,41743.4
282.083,28009.4,14005.3,42014.7
282.1,28190.9,14096,42287
282.117,28372.9,14187.1,42560
282.133,28555.5,14278.4,42833.9
282.15,28738.7,14370,43108.7
282.167,28922.2,14462.1,43384.3
282.183,29106.8,14554.1,43660.9
282.2,29291.7,14646.6,43938.3
282.217,29477.2,14739.3,44216.6
282.233,29663.4,14832.3,44495.7
282.25,29850,14925.7,44775.7
282.267,30036.9,15019.7,45056.6
282.283,30225.1,15113.3,45338.4
282.3,30413.6,15207.5,45621.1
282.317,30602.6,15302,45904.7
282.333,30792.2,15396.9,46189.1
282.35,30982.4,15492,46474.4
282.367,31173.3,15587.4,46760.7
282.383,31364.7,15683.1,47047.8
282.4,31556.7,15779,47335.7
282.417,31748.9,15875.6,47624.6
282.433,31942.4,15971.9,47914.3
282.45,32136.2,16068.7,48204.8
282.467,32330.4,16165.9,48496.3
282.483,32525.3,16263.4,48788.7
282.5,32720.6,16361.2,49081.8
282.517,32916.7,16459.2,49375.9
282.533,33113,16557.9,49670.9
282.55,33310.6,16656.1,49966.7
282.567,33508.4,16755,50263.5
282.583,33706.8,16854.2,50561.1
282.6,33905.9,16953.7,50859.6
282.617,34105.3,17053.5,51158.8
282.633,34305.5,17153.6,51459.1
282.65,34506.3,17253.9,51760.2
282.667,34707.6,17354.6,52062.2
282.683,34909.6,17455.6,52365.1
282.7,35112.1,17556.8,52668.9
282.717,35315.1,17658.5,52973.6
282.733,35518.8,17760.3,53279.1
282.75,35723.2,17862.4,53585.6
282.767,35928,17964.9,53892.9
282.783,36133.5,18067.6,54201
282.8,36339.5,18170.6,54510.1
282.817,36546.1,18273.8,54820
282.833,36753.2,18377.5,55130.8
282.85,36961,18481.3,55442.3
282.867,37169.3,18585.6,55754.9
282.883,37378.3,18690.1,56068.3
282.9,37587.8,18794.8,56382.6
282.917,37798,18899.9,56697.8
282.933,38008.6,19005.3,57013.9
282.95,38219.9,19110.9,57330.8
282.967,38431.8,19216.9,57648.7
282.983,38644.2,19323.3,57967.5
283,38857.4,19429.7,58287
283.017,39071.1,19536.5,58607.5
283.033,39285.3,19643.6,58928.9
283.05,39500.1,19750.9,59251.1
283.067,39715.6,19858.7,59574.3
283.083,39931.6,19966.7,59898.3
283.1,40148.1,20075,60223.1
283.117,40365.3,20183.5,60548.8
283.133,40583,20292.4,60875.4
283.15,40801.3,20401.6,61202.9
283.167,41020.2,20511.1,61531.3
