Time,Acceleration (x)
84.0667,0.0920695
84.0833,0.0780085
84.1,0.0638419
84.1167,0.049586
84.1333,0.0352612
84.15,0.0208873
84.1667,0.00648469
84.1833,-0.00792772
84.2,-0.0223267
84.2167,-0.0366962
84.2333,-0.0510156
84.25,-0.0652626
84.2667,-0.0794202
84.2833,-0.0934651
84.3,-0.107381
84.3167,-0.121148
84.3333,-0.134747
84.35,-0.14816
84.3667,-0.161364
84.3833,-0.174346
84.4,-0.187085
84.4167,-0.199565
84.4333,-0.211767
84.45,-0.223674
84.4667,-0.235274
84.4833,-0.246543
84.5,-0.257472
84.5167,-0.268043
84.5333,-0.278243
84.55,-0.288054
84.5667,-0.297467
84.5833,-0.306466
84.6,-0.315038
84.6167,-0.323175
84.6333,-0.330862
84.65,-0.338089
84.6667,-0.344848
84.6833,-0.351128
84.7,-0.356919
84.7167,-0.362216
84.7333,-0.36701
84.75,-0.371293
84.7667,-0.375062
84.7833,-0.378309
84.8,-0.381032
84.8167,-0.383224
84.8333,-0.384886
84.85,-0.386012
84.8667,-0.386603
84.8833,-0.0412484
84.9,-3.49521e-007
84.9167,-3.46134e-006
84.9333,3.40362e-006
84.95,-1.21645e-007
84.9667,-3.38772e-006
84.9833,3.50972e-006
85,-3.64374e-006
85.0167,2.22457e-009
85.0333,3.66586e-006
85.05,-3.58528e-006
85.0667,3.58025e-006
85.0833,1.3966e-007
85.1,-3.95031e-006
85.1167,3.72649e-006
85.1333,-3.35887e-006
85.15,-3.31658e-007
85.1667,3.8318e-006
85.1833,-3.68696e-006
85.2,3.47772e-006
85.2167,2.92558e-007
85.2333,-3.81302e-006
85.25,3.76904e-006
85.2667,-1.76618e-007
85.2833,-3.49235e-006
85.3,3.45851e-006
85.3167,-3.57493e-006
85.3333,-1.07793e-007
85.35,3.59785e-006
85.3667,-3.55321e-006
85.3833,3.86688e-006
85.4,8.99285e-008
85.4167,-3.76905e-006
85.4333,3.52547e-006
85.45,-3.58762e-006
85.4667,-1.46202e-007
85.4833,3.65138e-006
85.5,-3.51966e-006
85.5167,-2.9337e-007
85.5333,3.90027e-006
85.55,-3.42529e-006
85.5667,3.32182e-006
85.5833,3.76262e-007
85.6,-3.93785e-006
85.6167,3.50843e-006
85.6333,-3.46912e-006
85.65,-2.85576e-007
85.6667,3.77964e-006
85.6833,-3.6004e-006
85.7,3.68901e-006
85.7167,8.98072e-008
85.7333,-3.49283e-006
85.75,3.42105e-006
85.7667,1.20829e-007
85.7833,-3.76946e-006
85.8,3.54601e-006
85.8167,-3.47167e-006
85.8333,-2.87686e-007
85.85,3.83432e-006
85.8667,-3.49748e-006
85.8833,3.42705e-006
85.9,2.43796e-007
85.9167,-3.71524e-006
85.9333,3.47652e-006
85.95,-3.6238e-006
85.9667,-3.92983e-008
85.9833,3.90061e-006
86,-3.80225e-006
86.0167,-2.44013e-007
86.0333,3.82421e-006
86.05,-3.49534e-006
